REGION_TYPE,REGION,YEAR,WEEK,PERCENT_UNWEIGHTED,ILITOTAL,NUM_OF_PROVIDERS,TOTAL_PATIENTS
States,Alabama,2018,40,1.62895,640,79,39289
States,Alaska,2018,40,1.99899,79,15,3952
States,Arizona,2018,40,1.73525,307,42,17692
States,Arkansas,2018,40,1.10452,54,14,4889
States,California,2018,40,1.48324,698,104,47059
States,Colorado,2018,40,2.08215,843,72,40487
States,Connecticut,2018,40,1.50082,73,15,4864
States,Delaware,2018,40,0,0,10,2530
States,District of Columbia,2018,40,2.17196,314,4,14457
States,Florida,2018,40,X,X,X,X
States,Georgia,2018,40,2.31987,1850,95,79746
States,Hawaii,2018,40,1.5748,34,17,2159
States,Idaho,2018,40,0.52459,8,6,1525
States,Illinois,2018,40,0.791928,394,100,49752
States,Indiana,2018,40,1.25458,65,24,5181
States,Iowa,2018,40,0.507453,32,20,6306
States,Kansas,2018,40,0.86426,119,33,13769
States,Kentucky,2018,40,0.970453,112,34,11541
States,Louisiana,2018,40,2.47737,1256,95,50699
States,Maine,2018,40,0.925735,135,50,14583
States,Maryland,2018,40,0.7087,58,24,8184
States,Massachusetts,2018,40,1.00768,505,57,50115
States,Michigan,2018,40,1.02859,281,85,27319
States,Minnesota,2018,40,1.28562,97,24,7545
States,Mississippi,2018,40,1.93019,339,44,17563
States,Missouri,2018,40,0.581937,25,17,4296
States,Montana,2018,40,0.634962,49,30,7717
States,Nebraska,2018,40,1.94323,89,47,4580
States,Nevada,2018,40,0.389035,65,35,16708
States,New Hampshire,2018,40,0.609756,19,16,3116
States,New Jersey,2018,40,2.70526,885,41,32714
States,New Mexico,2018,40,0.852188,171,47,20066
States,New York,2018,40,0.964964,623,131,64562
States,North Carolina,2018,40,0.866783,856,148,98756
States,North Dakota,2018,40,0.937866,32,11,3412
States,Ohio,2018,40,0.793849,127,45,15998
States,Oklahoma,2018,40,1.66568,113,22,6784
States,Oregon,2018,40,0.780399,258,70,33060
States,Pennsylvania,2018,40,0.901871,536,139,59432
States,Rhode Island,2018,40,0.233173,15,23,6433
States,South Carolina,2018,40,1.36324,217,26,15918
States,South Dakota,2018,40,0.944063,147,32,15571
States,Tennessee,2018,40,0.458461,33,45,7198
States,Texas,2018,40,2.57487,730,108,28351
States,Utah,2018,40,1.12891,258,51,22854
States,Vermont,2018,40,1.06898,53,14,4958
States,Virginia,2018,40,1.52388,1373,128,90099
States,Washington,2018,40,0.34384,24,29,6980
States,West Virginia,2018,40,0.80433,107,44,13303
States,Wisconsin,2018,40,1.27936,268,41,20948
States,Wyoming,2018,40,1.69995,63,18,3706
States,Alabama,2018,41,1.72025,633,79,36797
States,Alaska,2018,41,2.39035,109,16,4560
States,Arizona,2018,41,1.67422,288,45,17202
States,Arkansas,2018,41,1.11684,52,14,4656
States,California,2018,41,1.27218,598,105,47006
States,Colorado,2018,41,2.33871,978,70,41818
States,Connecticut,2018,41,1.53914,70,14,4548
States,Delaware,2018,41,0.0872981,2,10,2291
States,District of Columbia,2018,41,2.25308,305,4,13537
States,Florida,2018,41,X,X,X,X
States,Georgia,2018,41,2.39457,1830,96,76423
States,Hawaii,2018,41,1.41463,29,19,2050
States,Idaho,2018,41,0.271003,5,8,1845
States,Illinois,2018,41,1.00549,493,103,49031
States,Indiana,2018,41,1.1109,58,23,5221
States,Iowa,2018,41,0.507835,35,20,6892
States,Kansas,2018,41,0.84532,124,37,14669
States,Kentucky,2018,41,1.27859,142,35,11106
States,Louisiana,2018,41,2.55452,1312,96,51360
States,Maine,2018,41,0.975419,150,52,15378
States,Maryland,2018,41,0.705379,56,24,7939
States,Massachusetts,2018,41,1.16488,583,58,50048
States,Michigan,2018,41,1.07104,259,85,24182
States,Minnesota,2018,41,1.71591,133,24,7751
States,Mississippi,2018,41,1.99827,346,47,17315
States,Missouri,2018,41,0.564279,23,17,4076
States,Montana,2018,41,0.541221,43,35,7945
States,Nebraska,2018,41,2.73047,194,45,7105
States,Nevada,2018,41,0.628229,107,35,17032
States,New Hampshire,2018,41,0.195759,6,16,3065
States,New Jersey,2018,41,2.60627,897,44,34417
States,New Mexico,2018,41,0.809395,173,50,21374
States,New York,2018,41,0.98214,661,133,67302
States,North Carolina,2018,41,1.0687,1057,151,98905
States,North Dakota,2018,41,1.32289,49,12,3704
States,Ohio,2018,41,0.644522,117,46,18153
States,Oklahoma,2018,41,1.86642,121,22,6483
States,Oregon,2018,41,0.793493,280,74,35287
States,Pennsylvania,2018,41,1.04907,639,138,60911
States,Rhode Island,2018,41,0.32491,18,23,5540
States,South Carolina,2018,41,1.58326,224,25,14148
States,South Dakota,2018,41,0.787648,126,31,15997
States,Tennessee,2018,41,0.756004,51,48,6746
States,Texas,2018,41,2.12283,589,107,27746
States,Utah,2018,41,0.889977,149,51,16742
States,Vermont,2018,41,1.0993,60,15,5458
States,Virginia,2018,41,1.65295,1490,130,90142
States,Washington,2018,41,0.507963,37,29,7284
States,West Virginia,2018,41,0.738967,108,46,14615
States,Wisconsin,2018,41,1.43178,319,41,22280
States,Wyoming,2018,41,1.60723,64,20,3982
States,Alabama,2018,42,1.82969,656,79,35853
States,Alaska,2018,42,2.27015,100,16,4405
States,Arizona,2018,42,1.79159,332,46,18531
States,Arkansas,2018,42,1.63996,87,16,5305
States,California,2018,42,1.42798,691,103,48390
States,Colorado,2018,42,2.5849,1042,71,40311
States,Connecticut,2018,42,1.32265,66,17,4990
States,Delaware,2018,42,0.113679,3,10,2639
States,District of Columbia,2018,42,2.02167,293,5,14493
States,Florida,2018,42,X,X,X,X
States,Georgia,2018,42,2.64531,2063,97,77987
States,Hawaii,2018,42,1.73611,35,19,2016
States,Idaho,2018,42,0.0910332,2,10,2197
States,Illinois,2018,42,1.0392,518,101,49846
States,Indiana,2018,42,0.847305,47,25,5547
States,Iowa,2018,42,0.477085,33,20,6917
States,Kansas,2018,42,0.991109,136,35,13722
States,Kentucky,2018,42,1.39531,181,42,12972
States,Louisiana,2018,42,2.76474,1408,95,50927
States,Maine,2018,42,0.947507,137,50,14459
States,Maryland,2018,42,1.09429,86,24,7859
States,Massachusetts,2018,42,1.27304,605,57,47524
States,Michigan,2018,42,1.08728,293,87,26948
States,Minnesota,2018,42,1.39559,107,22,7667
States,Mississippi,2018,42,2.19066,384,47,17529
States,Missouri,2018,42,0.794989,33,17,4151
States,Montana,2018,42,0.718391,55,34,7656
States,Nebraska,2018,42,1.52995,47,16,3072
States,Nevada,2018,42,0.560348,89,33,15883
States,New Hampshire,2018,42,0.661417,21,15,3175
States,New Jersey,2018,42,2.69214,889,44,33022
States,New Mexico,2018,42,1.06924,204,51,19079
States,New York,2018,42,1.1082,706,134,63707
